state,district,pincode,region_key,total_enrolment,total_demographic,total_biometric,activity_ratio,bio_share,demo_share,z_score_activity,iqr_flag_activity,anomaly_score
assam,bajali,781313,assam_bajali_781313,2.0,30.0,0.0,0.6,0.0,0.75,-0.837158418122056,0,0.37458276783968714
assam,bajali,781316,assam_bajali_781316,0.0,14.0,1.0,0.3,0.04,0.56,-0.8458862098049542,0,0.2998428952068685
assam,bajali,781317,assam_bajali_781317,0.0,1.0,0.0,0.02,0.0,0.09090909090909091,-0.8540321487089925,0,0.282919694731504
assam,bajali,781318,assam_bajali_781318,1.0,100.0,2.0,2.04,0.017857142857142856,0.8928571428571429,-0.7952650180441453,0,0.3795265018044145
assam,bajali,781325,assam_bajali_781325,4.0,124.0,3.0,2.54,0.021897810218978103,0.9051094890510949,-0.7807186985726484,0,0.3780718698572648
assam,bajali,781326,assam_bajali_781326,1.0,26.0,2.0,0.56,0.05263157894736842,0.6842105263157895,-0.8383221236797759,0,0.33977084023155935
assam,bajali,781328,assam_bajali_781328,0.0,26.0,1.0,0.54,0.02702702702702703,0.7027027027027027,-0.8389039764586357,0,0.35208495963584596
assam,bajali,781329,assam_bajali_781329,0.0,26.0,1.0,0.54,0.02702702702702703,0.7027027027027027,-0.8389039764586357,0,0.35208495963584596
assam,bajali,781352,assam_bajali_781352,1.0,12.0,2.0,0.28,0.08333333333333333,0.5,-0.846468062583814,0,0.269098983946621
assam,bajali,781355,assam_bajali_781355,0.0,17.0,0.0,0.34,0.0,0.6296296296296297,-0.8447225042472344,0,0.3331518161641706
assam,bajali,781371,assam_bajali_781371,0.0,3.0,0.0,0.06,0.0,0.23076923076923078,-0.8528684431512727,0,0.233785197106257
assam,bajali,781375,assam_bajali_781375,3.0,33.0,1.0,0.68,0.022727272727272728,0.75,-0.8348310070066166,0,0.36922415958199184
assam,baksa,781312,assam_baksa_781312,0.0,1.0,0.0,0.02,0.0,0.09090909090909091,-0.8540321487089925,0,0.282919694731504
assam,baksa,781313,assam_baksa_781313,1.0,2.0,0.0,0.04,0.0,0.16666666666666666,-0.8534502959301326,0,0.2563100239576524
