state,district,pincode,region_key,activity_ratio,bio_share,demo_share
assam,bajali,781313,assam_bajali_781313,0.6,0.0,0.75
assam,bajali,781316,assam_bajali_781316,0.3,0.04,0.56
assam,bajali,781317,assam_bajali_781317,0.02,0.0,0.09090909090909091
assam,bajali,781318,assam_bajali_781318,2.04,0.017857142857142856,0.8928571428571429
assam,bajali,781325,assam_bajali_781325,2.54,0.021897810218978103,0.9051094890510949
assam,bajali,781326,assam_bajali_781326,0.56,0.05263157894736842,0.6842105263157895
assam,bajali,781328,assam_bajali_781328,0.54,0.02702702702702703,0.7027027027027027
assam,bajali,781329,assam_bajali_781329,0.54,0.02702702702702703,0.7027027027027027
assam,bajali,781352,assam_bajali_781352,0.28,0.08333333333333333,0.5
assam,bajali,781355,assam_bajali_781355,0.34,0.0,0.6296296296296297
assam,bajali,781371,assam_bajali_781371,0.06,0.0,0.23076923076923078
assam,bajali,781375,assam_bajali_781375,0.68,0.022727272727272728,0.75
assam,baksa,781312,assam_baksa_781312,0.02,0.0,0.09090909090909091
assam,baksa,781313,assam_baksa_781313,0.04,0.0,0.16666666666666666
assam,baksa,781315,assam_baksa_781315,14.433898305084746,0.806232427366448,0.1914245548266167
assam,baksa,781316,assam_baksa_781316,0.56,0.2631578947368421,0.47368421052631576
assam,baksa,781318,assam_baksa_781318,7.12,0.505464480874317,0.4672131147540984
assam,baksa,781325,assam_baksa_781325,0.1,0.13333333333333333,0.2
assam,baksa,781327,assam_baksa_781327,39.0,0.46224489795918366,0.5326530612244897
assam,baksa,781328,assam_baksa_781328,4.48,0.34615384615384615,0.6111111111111112
assam,baksa,781329,assam_baksa_781329,2.52,0.6617647058823529,0.2647058823529412
assam,baksa,781330,assam_baksa_781330,7.02,0.6592797783933518,0.31301939058171746
assam,baksa,781333,assam_baksa_781333,12.96,0.4969604863221885,0.4878419452887538
assam,baksa,781340,assam_baksa_781340,1.14,0.43283582089552236,0.417910447761194
assam,baksa,781343,assam_baksa_781343,13.42,0.5712187958883994,0.41409691629955947
assam,baksa,781344,assam_baksa_781344,6.621468926553672,0.4619289340101523,0.5296108291032149
assam,baksa,781346,assam_baksa_781346,17.061728395061728,0.6264367816091954,0.36637931034482757
assam,baksa,781349,assam_baksa_781349,14.38,0.541838134430727,0.4444444444444444
assam,baksa,781355,assam_baksa_781355,4.34,0.6035242290748899,0.3524229074889868
