state,district,pincode,region_key,demo_to_enrol_ratio,bio_to_enrol_ratio
assam,bajali,781313,assam_bajali_781313,3.0,0.0
assam,bajali,781316,assam_bajali_781316,1.4,0.1
assam,bajali,781317,assam_bajali_781317,0.1,0.0
assam,bajali,781318,assam_bajali_781318,10.0,0.2
assam,bajali,781325,assam_bajali_781325,12.4,0.3
assam,bajali,781326,assam_bajali_781326,2.6,0.2
assam,bajali,781328,assam_bajali_781328,2.6,0.1
assam,bajali,781329,assam_bajali_781329,2.6,0.1
assam,bajali,781352,assam_bajali_781352,1.2,0.2
assam,bajali,781355,assam_bajali_781355,1.7,0.0
assam,bajali,781371,assam_bajali_781371,0.3,0.0
assam,bajali,781375,assam_bajali_781375,3.3,0.1
assam,baksa,781312,assam_baksa_781312,0.1,0.0
assam,baksa,781313,assam_baksa_781313,0.2,0.0
assam,baksa,781315,assam_baksa_781315,2.769491525423729,11.664406779661016
assam,baksa,781316,assam_baksa_781316,1.8,1.0
assam,baksa,781318,assam_baksa_781318,17.1,18.5
assam,baksa,781325,assam_baksa_781325,0.3,0.2
assam,baksa,781327,assam_baksa_781327,37.285714285714285,32.357142857142854
assam,baksa,781328,assam_baksa_781328,14.3,8.1
assam,baksa,781329,assam_baksa_781329,3.6,9.0
assam,baksa,781330,assam_baksa_781330,11.3,23.8
assam,baksa,781333,assam_baksa_781333,16.894736842105264,17.210526315789473
assam,baksa,781340,assam_baksa_781340,2.8,2.9
assam,baksa,781343,assam_baksa_781343,13.428571428571429,18.523809523809526
assam,baksa,781344,assam_baksa_781344,3.536723163841808,3.0847457627118646
assam,baksa,781346,assam_baksa_781346,6.296296296296297,10.765432098765432
assam,baksa,781349,assam_baksa_781349,11.571428571428571,14.107142857142858
assam,baksa,781355,assam_baksa_781355,8.0,13.7
assam,baksa,781360,assam_baksa_781360,3.861842105263158,3.2741228070175437
assam,baksa,781366,assam_baksa_781366,0.2,0.2
assam,baksa,781367,assam_baksa_781367,3.2776280323450133,2.9838274932614555
assam,baksa,781368,assam_baksa_781368,3.732456140350877,3.5833333333333335
assam,baksa,781371,assam_baksa_781371,0.8,0.7
assam,baksa,781372,assam_baksa_781372,3.870879120879121,3.1236263736263736
assam,baksa,781373,assam_baksa_781373,9.461538461538462,25.846153846153847
assam,baksa,781377,assam_baksa_781377,19.523809523809526,32.38095238095238
assam,barpeta,781301,assam_barpeta_781301,4.357142857142857,11.385714285714286
